the;186;5.67246%
and;140;4.26959%
to;76;2.31778%
i;72;2.19579%
in;67;2.04331%
a;61;1.86032%
with;55;1.67734%
she;51;1.55535%
you;49;1.49436%
my;47;1.43336%
of;46;1.40287%
is;44;1.34187%
s;44;1.34187%
her;42;1.28088%
it;26;0.792925%
are;25;0.762428%
was;25;0.762428%
all;24;0.73193%
for;23;0.701433%
me;22;0.670936%
that;20;0.609942%
would;20;0.609942%
by;19;0.579445%
on;19;0.579445%
will;19;0.579445%
not;18;0.548948%
t;18;0.548948%
be;17;0.518451%
then;17;0.518451%
so;16;0.487954%
but;15;0.457457%
love;15;0.457457%
princess;15;0.457457%
there;15;0.457457%
who;15;0.457457%
your;15;0.457457%
from;14;0.426959%
if;14;0.426959%
don;12;0.365965%
his;12;0.365965%
now;12;0.365965%
what;12;0.365965%
as;11;0.335468%
ll;11;0.335468%
soul;11;0.335468%
alone;10;0.304971%
heart;10;0.304971%
how;10;0.304971%
just;10;0.304971%
m;10;0.304971%
still;10;0.304971%
long;9;0.274474%
loved;9;0.274474%
mirror;9;0.274474%
thus;9;0.274474%
do;8;0.243977%
friend;8;0.243977%
he;8;0.243977%
life;8;0.243977%
no;8;0.243977%
slowly;8;0.243977%
this;8;0.243977%
ve;8;0.243977%
we;8;0.243977%
why;8;0.243977%
at;7;0.21348%
czar;7;0.21348%
czarina;7;0.21348%
d;7;0.21348%
day;7;0.21348%
dear;7;0.21348%
light;7;0.21348%
like;7;0.21348%
never;7;0.21348%
only;7;0.21348%
our;7;0.21348%
they;7;0.21348%
while;7;0.21348%
am;6;0.182983%
can;6;0.182983%
come;6;0.182983%
has;6;0.182983%
its;6;0.182983%
moment;6;0.182983%
more;6;0.182983%
night;6;0.182983%
ready;6;0.182983%
shall;6;0.182983%
under;6;0.182983%
where;6;0.182983%
an;5;0.152486%
before;5;0.152486%
chance;5;0.152486%
days;5;0.152486%
god;5;0.152486%
had;5;0.152486%
have;5;0.152486%
here;5;0.152486%
leave;5;0.152486%
let;5;0.152486%
most;5;0.152486%
one;5;0.152486%
pure;5;0.152486%
tender;5;0.152486%
though;5;0.152486%
up;5;0.152486%
us;5;0.152486%
woods;5;0.152486%
away;4;0.121988%
beautiful;4;0.121988%
cherished;4;0.121988%
dismal;4;0.121988%
earth;4;0.121988%
fields;4;0.121988%
filled;4;0.121988%
forth;4;0.121988%
glass;4;0.121988%
grief;4;0.121988%
inside;4;0.121988%
joy;4;0.121988%
lady;4;0.121988%
left;4;0.121988%
lost;4;0.121988%
made;4;0.121988%
oh;4;0.121988%
once;4;0.121988%
out;4;0.121988%
pale;4;0.121988%
peace;4;0.121988%
pretty;4;0.121988%
purest;4;0.121988%
re;4;0.121988%
say;4;0.121988%
seven;4;0.121988%
snow;4;0.121988%
someone;4;0.121988%
than;4;0.121988%
through;4;0.121988%
time;4;0.121988%
verve;4;0.121988%
youth;4;0.121988%
across;3;0.0914913%
appeared;3;0.0914913%
ask;3;0.0914913%
back;3;0.0914913%
bring;3;0.0914913%
charming;3;0.0914913%
dead;3;0.0914913%
desire;3;0.0914913%
die;3;0.0914913%
dog;3;0.0914913%
door;3;0.0914913%
each;3;0.0914913%
every;3;0.0914913%
eyes;3;0.0914913%
fairest;3;0.0914913%
feel;3;0.0914913%
fleeting;3;0.0914913%
forgotten;3;0.0914913%
frost;3;0.0914913%
full;3;0.0914913%
heavy;3;0.0914913%
inspiration;3;0.0914913%
lit;3;0.0914913%
longer;3;0.0914913%
loving;3;0.0914913%
lyre;3;0.0914913%
many;3;0.0914913%
may;3;0.0914913%
men;3;0.0914913%
much;3;0.0914913%
o;3;0.0914913%
off;3;0.0914913%
perceive;3;0.0914913%
perhaps;3;0.0914913%
phantom;3;0.0914913%
prettiest;3;0.0914913%
resound;3;0.0914913%
rest;3;0.0914913%
right;3;0.0914913%
sat;3;0.0914913%
slumber;3;0.0914913%
steed;3;0.0914913%
stove;3;0.0914913%
strife;3;0.0914913%
tears;3;0.0914913%
tell;3;0.0914913%
till;3;0.0914913%
tired;3;0.0914913%
upon;3;0.0914913%
were;3;0.0914913%
which;3;0.0914913%
wild;3;0.0914913%
within;3;0.0914913%
won;3;0.0914913%
word;3;0.0914913%
yesterday;3;0.0914913%
above;2;0.0609942%
afraid;2;0.0609942%
ahead;2;0.0609942%
anguish;2;0.0609942%
attractive;2;0.0609942%
await;2;0.0609942%
awaited;2;0.0609942%
believe;2;0.0609942%
beloved;2;0.0609942%
best;2;0.0609942%
bliss;2;0.0609942%
blood;2;0.0609942%
bluish;2;0.0609942%
brief;2;0.0609942%
bright;2;0.0609942%
call;2;0.0609942%
came;2;0.0609942%
captive;2;0.0609942%
catch;2;0.0609942%
clean;2;0.0609942%
cleaned;2;0.0609942%
clouds;2;0.0609942%
command;2;0.0609942%
conviction;2;0.0609942%
corpse;2;0.0609942%
could;2;0.0609942%
dare;2;0.0609942%
darkness;2;0.0609942%
darling;2;0.0609942%
daughter;2;0.0609942%
dawn;2;0.0609942%
death;2;0.0609942%
dejected;2;0.0609942%
dejection;2;0.0609942%
delight;2;0.0609942%
distraught;2;0.0609942%
doubt;2;0.0609942%
dream;2;0.0609942%
dreams;2;0.0609942%
elder;2;0.0609942%
ellisay;2;0.0609942%
else;2;0.0609942%
empty;2;0.0609942%
enchanting;2;0.0609942%
entered;2;0.0609942%
evil;2;0.0609942%
expressions;2;0.0609942%
faith;2;0.0609942%
faster;2;0.0609942%
fear;2;0.0609942%
feeble;2;0.0609942%
felt;2;0.0609942%
finds;2;0.0609942%
flee;2;0.0609942%
fly;2;0.0609942%
forest;2;0.0609942%
gloom;2;0.0609942%
go;2;0.0609942%
grew;2;0.0609942%
growing;2;0.0609942%
half;2;0.0609942%
hand;2;0.0609942%
happy;2;0.0609942%
heard;2;0.0609942%
held;2;0.0609942%
him;2;0.0609942%
hit;2;0.0609942%
home;2;0.0609942%
horse;2;0.0609942%
imprint;2;0.0609942%
into;2;0.0609942%
jealousy;2;0.0609942%
king;2;0.0609942%
lack;2;0.0609942%
lies;2;0.0609942%
little;2;0.0609942%
living;2;0.0609942%
locked;2;0.0609942%
lonesome;2;0.0609942%
look;2;0.0609942%
loud;2;0.0609942%
maid;2;0.0609942%
mare;2;0.0609942%
mild;2;0.0609942%
mother;2;0.0609942%
name;2;0.0609942%
new;2;0.0609942%
nighttime;2;0.0609942%
noisy;2;0.0609942%
nor;2;0.0609942%
older;2;0.0609942%
omen;2;0.0609942%
or;2;0.0609942%
pain;2;0.0609942%
passed;2;0.0609942%
passes;2;0.0609942%
people;2;0.0609942%
please;2;0.0609942%
present;2;0.0609942%
put;2;0.0609942%
question;2;0.0609942%
rambled;2;0.0609942%
receive;2;0.0609942%
replied;2;0.0609942%
resist;2;0.0609942%
ride;2;0.0609942%
rising;2;0.0609942%
room;2;0.0609942%
sacred;2;0.0609942%
sadness;2;0.0609942%
see;2;0.0609942%
seeking;2;0.0609942%
shore;2;0.0609942%
sigh;2;0.0609942%
sight;2;0.0609942%
silent;2;0.0609942%
since;2;0.0609942%
sky;2;0.0609942%
sleep;2;0.0609942%
soft;2;0.0609942%
soon;2;0.0609942%
sorrow;2;0.0609942%
square;2;0.0609942%
stand;2;0.0609942%
stands;2;0.0609942%
started;2;0.0609942%
stood;2;0.0609942%
stopped;2;0.0609942%
take;2;0.0609942%
thee;2;0.0609942%
them;2;0.0609942%
times;2;0.0609942%
today;2;0.0609942%
twilight;2;0.0609942%
very;2;0.0609942%
voice;2;0.0609942%
want;2;0.0609942%
white;2;0.0609942%
whose;2;0.0609942%
wife;2;0.0609942%
wish;2;0.0609942%
wooden;2;0.0609942%
yard;2;0.0609942%
zealous;2;0.0609942%
1833;1;0.0304971%
abate;1;0.0304971%
abide;1;0.0304971%
about;1;0.0304971%
abruptly;1;0.0304971%
accepted;1;0.0304971%
active;1;0.0304971%
admiration;1;0.0304971%
admiring;1;0.0304971%
adulators;1;0.0304971%
advance;1;0.0304971%
afar;1;0.0304971%
affirmed;1;0.0304971%
affliction;1;0.0304971%
again;1;0.0304971%
ago;1;0.0304971%
alas;1;0.0304971%
aleksander;1;0.0304971%
allow;1;0.0304971%
allowed;1;0.0304971%
along;1;0.0304971%
always;1;0.0304971%
amazing;1;0.0304971%
amber;1;0.0304971%
ambition;1;0.0304971%
angel;1;0.0304971%
answer;1;0.0304971%
any;1;0.0304971%
apathy;1;0.0304971%
appalled;1;0.0304971%
ardent;1;0.0304971%
arise;1;0.0304971%
arm;1;0.0304971%
aroused;1;0.0304971%
arrow;1;0.0304971%
ashes;1;0.0304971%
aside;1;0.0304971%
asked;1;0.0304971%
aspire;1;0.0304971%
attained;1;0.0304971%
aurora;1;0.0304971%
barked;1;0.0304971%
barks;1;0.0304971%
barren;1;0.0304971%
bars;1;0.0304971%
battle;1;0.0304971%
beast;1;0.0304971%
beats;1;0.0304971%
beauty;1;0.0304971%
became;1;0.0304971%
become;1;0.0304971%
becomes;1;0.0304971%
been;1;0.0304971%
beg;1;0.0304971%
begins;1;0.0304971%
beheading;1;0.0304971%
being;1;0.0304971%
beings;1;0.0304971%
belief;1;0.0304971%
belies;1;0.0304971%
below;1;0.0304971%
benches;1;0.0304971%
beseech;1;0.0304971%
between;1;0.0304971%
bid;1;0.0304971%
blaring;1;0.0304971%
blatant;1;0.0304971%
blazing;1;0.0304971%
blizzards;1;0.0304971%
block;1;0.0304971%
blooming;1;0.0304971%
blossom;1;0.0304971%
blossoming;1;0.0304971%
bodies;1;0.0304971%
bolts;1;0.0304971%
bones;1;0.0304971%
boring;1;0.0304971%
boundaries;1;0.0304971%
bowing;1;0.0304971%
breathe;1;0.0304971%
brother;1;0.0304971%
brothers;1;0.0304971%
brows;1;0.0304971%
bursting;1;0.0304971%
business;1;0.0304971%
buy;1;0.0304971%
called;1;0.0304971%
calling;1;0.0304971%
calm;1;0.0304971%
calmness;1;0.0304971%
candle;1;0.0304971%
cannot;1;0.0304971%
care;1;0.0304971%
carpet;1;0.0304971%
carpets;1;0.0304971%
cast;1;0.0304971%
cattle;1;0.0304971%
cauldrons;1;0.0304971%
ceased;1;0.0304971%
certain;1;0.0304971%
chains;1;0.0304971%
chamber;1;0.0304971%
chambermaid;1;0.0304971%
chasing;1;0.0304971%
chatter;1;0.0304971%
cheerful;1;0.0304971%
child;1;0.0304971%
christmas;1;0.0304971%
circassian;1;0.0304971%
city;1;0.0304971%
clamorous;1;0.0304971%
clatter;1;0.0304971%
cleaning;1;0.0304971%
climb;1;0.0304971%
clocks;1;0.0304971%
clutched;1;0.0304971%
cold;1;0.0304971%
comes;1;0.0304971%
coming;1;0.0304971%
commanded;1;0.0304971%
commandment;1;0.0304971%
commotion;1;0.0304971%
compelling;1;0.0304971%
completed;1;0.0304971%
composed;1;0.0304971%
concealing;1;0.0304971%
conceived;1;0.0304971%
conclusive;1;0.0304971%
confess;1;0.0304971%
confessions;1;0.0304971%
conquered;1;0.0304971%
conscience;1;0.0304971%
consumed;1;0.0304971%
content;1;0.0304971%
contradicting;1;0.0304971%
conveyed;1;0.0304971%
cooking;1;0.0304971%
cooled;1;0.0304971%
corner;1;0.0304971%
covered;1;0.0304971%
covet;1;0.0304971%
creaking;1;0.0304971%
creators;1;0.0304971%
creeping;1;0.0304971%
cross;1;0.0304971%
crossbeam;1;0.0304971%
cry;1;0.0304971%
curse;1;0.0304971%
cut;1;0.0304971%
dame;1;0.0304971%
dancing;1;0.0304971%
dangerous;1;0.0304971%
daring;1;0.0304971%
dark;1;0.0304971%
darken;1;0.0304971%
darkened;1;0.0304971%
date;1;0.0304971%
dazzled;1;0.0304971%
dearly;1;0.0304971%
debts;1;0.0304971%
deceived;1;0.0304971%
decline;1;0.0304971%
deep;1;0.0304971%
demise;1;0.0304971%
depression;1;0.0304971%
detained;1;0.0304971%
devotion;1;0.0304971%
devout;1;0.0304971%
did;1;0.0304971%
died;1;0.0304971%
dine;1;0.0304971%
dire;1;0.0304971%
dirty;1;0.0304971%
disapproving;1;0.0304971%
distant;1;0.0304971%
distress;1;0.0304971%
disturbing;1;0.0304971%
divine;1;0.0304971%
does;1;0.0304971%
dome;1;0.0304971%
done;1;0.0304971%
doomed;1;0.0304971%
dormant;1;0.0304971%
doubts;1;0.0304971%
doze;1;0.0304971%
drag;1;0.0304971%
dread;1;0.0304971%
dreamt;1;0.0304971%
dressing;1;0.0304971%
drink;1;0.0304971%
ducks;1;0.0304971%
dull;1;0.0304971%
during;1;0.0304971%
dusky;1;0.0304971%
dwell;1;0.0304971%
dye;1;0.0304971%
early;1;0.0304971%
easy;1;0.0304971%
effort;1;0.0304971%
eldest;1;0.0304971%
embraced;1;0.0304971%
emerged;1;0.0304971%
emptiness;1;0.0304971%
energize;1;0.0304971%
enjoy;1;0.0304971%
envious;1;0.0304971%
epigrams;1;0.0304971%
era;1;0.0304971%
essence;1;0.0304971%
eternal;1;0.0304971%
eve;1;0.0304971%
ever;1;0.0304971%
everyone;1;0.0304971%
everything;1;0.0304971%
evident;1;0.0304971%
evoked;1;0.0304971%
expire;1;0.0304971%
exposed;1;0.0304971%
faces;1;0.0304971%
fade;1;0.0304971%
faint;1;0.0304971%
fair;1;0.0304971%
fairytale;1;0.0304971%
falling;1;0.0304971%
family;1;0.0304971%
far;1;0.0304971%
farewell;1;0.0304971%
father;1;0.0304971%
feed;1;0.0304971%
feelings;1;0.0304971%
fervent;1;0.0304971%
